year,ndwi
2015,-0.114
2015,-0.019
2015,-0.034
2015,-0.132
2015,-0.108
2015,-0.089
2015,
2015,
2015,-0.121
2015,-0.031
2015,-0.038
2015,-0.068
2015,-0.077
2015,-0.108
2015,0.01
2015,0.147
2015,-0.002
2015,-0.082
2015,-0.14
2015,-0.052
2015,0.052
2015,-0.123
2015,-0.008
2015,-0.039
2015,-0.14
2015,
2015,
2015,0.02
2015,0.141
2015,0.01
2015,
2015,-0.156
2015,-0.075
2015,0.032
2015,-0.112
2015,-0.026
2015,-0.02
2015,-0.143
2015,
2015,-0.094
2015,0.036
2015,0.186
2015,
2015,-0.088
2015,-0.131
2015,-0.106
2015,0.039
2015,0.041
2015,-0.139
2015,-0.123
2015,-0.095
2015,0.029
2015,0.188
2015,-0.014
2015,-0.087
2015,-0.145
2015,-0.073
2015,0.046
2015,-0.151
2015,-0.129
2015,-0.03
2015,-0.087
2015,-0.161
2015,-0.082
2015,0.047
2015,-0.12
2015,-0.021
2015,-0.026
2015,-0.133
2015,-0.111
2015,-0.075
2015,0.062
2015,0.254
2015,-0.015
2015,
2015,-0.163
2015,
2015,0.09
2015,-0.001
2015,
2015,-0.148
2015,-0.123
2015,-0.048
2015,0.076
2015,0.054
2015,-0.004
2015,
2015,0.176
2015,0.099
2015,-0.072
2015,
2015,
2015,0.518
2015,
2015,
2015,0.046
2015,
2016,
2016,-0.126
2016,0.044
2016,
2016,
2016,
2016,
2016,-0.063
2016,0.301
2016,0.037
2016,
2016,0.042
2016,0.037
2016,
2016,
2016,0.403
2016,
2016,0.269
2016,0.374
2016,0.081
2016,
2016,0.02
2016,
2016,
2016,0.384
2016,0.018
2016,-0.124
2016,
2016,0.055
2016,
2016,
2016,-0.057
2016,-0.085
2016,-0.071
2016,0.066
2016,0.331
2016,-0.12
2016,-0.125
2016,0.016
2016,-0.109
2016,-0.095
2016,0.419
2016,-0.115
2016,-0.041
2016,-0.059
2016,0.009
2016,-0.05
2016,-0.12
2016,-0.047
2016,0.081
2016,-0.087
2016,-0.025
2016,
2016,-0.078
2016,0.07
2016,0.316
2016,-0.062
2016,-0.081
2016,0.06
2016,0.078
2016,0.022
2016,0.107
2016,0.078
2016,0.021
2016,-0.086
2016,-0.067
2016,-0.028
2016,0.041
2016,0.061
2016,0.129
2016,-0.007
2016,-0.055
2016,-0.137
2016,-0.045
2016,0.047
2016,-0.157
2016,-0.067
2016,
2016,-0.128
2016,-0.03
2016,-0.027
2016,-0.089
2016,-0.062
2016,-0.122
2016,0.027
2016,0.161
2016,0.028
2016,-0.063
2016,-0.162
2016,-0.082
2016,-0.005
2016,-0.132
2016,-0.03
2016,-0.038
2016,0.369
2016,0.342
2016,-0.135
2016,-0.006
2016,0.145
2016,0.011
2016,-0.084
2016,-0.176
2016,-0.078
2016,0.069
2016,-0.142
2016,-0.027
2016,-0.031
2016,-0.136
2016,-0.089
2016,0.014
2016,-0.087
2016,-0.166
2016,-0.058
2016,0.08
2016,-0.146
2016,-0.025
2016,-0.042
2016,-0.075
2016,-0.064
2016,-0.13
2016,0.01
2016,0.125
2016,0.002
2016,-0.09
2016,-0.164
2016,-0.075
2016,0.014
2016,-0.16
2016,-0.136
2016,-0.121
2016,0.022
2016,0.13
2016,-0.001
2016,-0.173
2016,-0.094
2016,0.019
2016,-0.144
2016,-0.012
2016,
2016,-0.162
2016,-0.136
2016,0.036
2016,0.187
2016,0.023
2016,-0.084
2016,-0.186
2016,-0.081
2016,0.054
2016,-0.053
2016,
2016,-0.08
2016,0.092
2016,-0.197
2016,-0.09
2016,0.09
2016,-0.159
2016,-0.038
2016,
2016,-0.174
2016,-0.141
2016,-0.137
2016,
2016,0.127
2016,0.081
2016,-0.162
2016,0.003
2016,-0.038
2016,0.131
2016,
2016,-0.073
2016,-0.008
2016,0.106
2016,-0.112
2016,-0.043
2016,-0.018
2016,-0.182
2016,-0.147
2016,-0.174
2016,-0.024
2016,
2016,0.584
2016,
2016,
2016,-0.17
2016,
2016,
2016,
2016,
2016,-0.042
2016,0.415
2016,0.382
2016,-0.056
2016,-0.089
2016,0.072
2016,0.318
2016,0.129
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,0.56
2017,0.039
2017,0.469
2017,
2017,0.343
2017,0.217
2017,-0.005
2017,-0.12
2017,0.543
2017,0.017
2017,-0.044
2017,-0.041
2017,0.082
2017,-0.163
2017,-0.034
2017,0.009
2017,-0.186
2017,-0.162
2017,-0.151
2017,
2017,0.282
2017,-0.094
2017,-0.121
2017,-0.026
2017,-0.012
2017,-0.148
2017,-0.14
2017,-0.145
2017,-0.124
2017,0.03
2017,
2017,-0.017
2017,-0.11
2017,-0.156
2017,-0.074
2017,0.054
2017,
2017,
2017,
2017,-0.133
2017,
2017,0.02
2017,0.244
2017,-0.068
2017,-0.096
2017,-0.083
2017,
2017,-0.034
2017,-0.135
2017,-0.099
2017,-0.147
2017,0
2017,0.106
2017,-0.04
2017,-0.09
2017,-0.172
2017,-0.078
2017,0.038
2017,-0.147
2017,-0.035
2017,-0.031
2017,-0.134
2017,-0.12
2017,
2017,-0.004
2017,0.122
2017,-0.197
2017,-0.102
2017,0.029
2017,-0.13
2017,0.005
2017,0
2017,-0.213
2017,-0.147
2017,-0.143
2017,-0.043
2017,
2017,-0.015
2017,-0.086
2017,-0.202
2017,-0.099
2017,0.038
2017,
2017,-0.035
2017,-0.015
2017,-0.215
2017,-0.181
2017,0.042
2017,0.133
2017,-0.008
2017,-0.091
2017,-0.212
2017,-0.094
2017,0.079
2017,-0.158
2017,-0.015
2017,-0.023
2017,-0.166
2017,-0.142
2017,
2017,0.001
2017,0.145
2017,-0.012
2017,-0.092
2017,-0.217
2017,
2017,0.031
2017,-0.163
2017,-0.025
2017,-0.024
2017,-0.202
2017,
2017,0.122
2017,-0.206
2017,
2017,0.007
2017,-0.163
2017,-0.023
2017,-0.039
2017,-0.218
2017,-0.179
2017,-0.146
2017,0.001
2017,0.116
2017,-0.019
2017,-0.098
2017,-0.213
2017,-0.117
2017,0.027
2017,-0.167
2017,-0.025
2017,-0.04
2017,-0.155
2017,-0.146
2017,-0.147
2017,0.022
2017,0.13
2017,-0.034
2017,-0.213
2017,-0.117
2017,0.011
2017,-0.165
2017,-0.02
2017,-0.07
2017,-0.204
2017,-0.181
2017,-0.123
2017,0.124
2017,-0.205
2017,-0.11
2017,0.058
2017,
2017,-0.015
2017,-0.069
2017,-0.23
2017,-0.189
2017,0.119
2017,-0.121
2017,0.218
2017,-0.167
2017,-0.009
2017,0.003
2017,-0.119
2017,-0.119
2017,0.165
2017,-0.062
2017,-0.11
2017,-0.205
2017,-0.087
2017,-0.161
2017,-0.029
2017,0.011
2017,-0.208
2017,-0.005
2017,0.231
2017,-0.068
2017,-0.104
2017,0.555
2017,0.108
2017,0.087
2017,
2017,
2017,
2017,
2017,
2017,
2017,0.64
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,0.181
2018,
2018,-0.074
2018,-0.109
2018,-0.221
2018,-0.089
2018,0.122
2018,-0.154
2018,-0.02
2018,0.155
2018,-0.224
2018,-0.191
